Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB-AS/90+140	C-AS/90+50h	73.3	0.0	77.16	16.6272787912	-0.189548563055	1.0
LB/90+140h	LB+LP/30	80.86	8.10718200116	41.3	4.05647630339	7.85600886471	1.0
C/30	LB-AS/90+140h	176.625	13.8035095175	90.95	12.4357347994	7.98710099525	1.0
C/90	C/30	147.62	12.0370095954	176.625	13.8035095175	-2.96701147526	1.0
C-AS/90	LB/90	128.68	19.9097363117	66.12	5.114841151	6.08671482843	1.0
LB/90+140h	LB/90+50h	80.86	8.10718200116	68.22	5.55027927225	2.57300966468	1.0
LB/90+140h	LB+LP/90+50h	80.86	8.10718200116	65.84	8.7860343728	2.51276693759	1.0
C/90	C-AS/90+50h	147.62	12.0370095954	77.16	16.6272787912	6.8651185817	1.0
LB+LP/90+140h	LB+LP/30+120h	83.08	10.3590347041	39.925	1.60058583025	7.27882734864	0.462
LB+LP/90+140h	LB/90	83.08	10.3590347041	66.12	5.114841151	2.93604062881	1.0
C-AS/90+140h	C-AS/90	78.48	22.7908227144	128.68	19.9097363117	-3.31763680787	1.0
LB-AS/90+50h	LB+LP/90+140h	66.66	11.8376686894	83.08	10.3590347041	-2.08770049867	1.0
LB/90+140h	C/30+120h	80.86	8.10718200116	101.9	13.6486263045	-2.53240091117	1.0
