#SampleID	days_since_epoch	Subject_SampleType
14190.M3.L.palm	14190	M3_L_palm
14191.M3.L.palm	14191	M3_L_palm
14192.M3.L.palm	14192	M3_L_palm
14193.M3.L.palm	14193	M3_L_palm
14194.M3.L.palm	14194	M3_L_palm
14195.M3.L.palm	14195	M3_L_palm
14196.M3.L.palm	14196	M3_L_palm
14197.M3.L.palm	14197	M3_L_palm
14198.M3.L.palm	14198	M3_L_palm
14199.M3.L.palm	14199	M3_L_palm
14200.M3.L.palm	14200	M3_L_palm
14201.M3.L.palm	14201	M3_L_palm
14202.M3.L.palm	14202	M3_L_palm
14203.M3.L.palm	14203	M3_L_palm
14204.M3.L.palm	14204	M3_L_palm
14205.M3.L.palm	14205	M3_L_palm
14215.M3.L.palm	14215	M3_L_palm
14216.M3.L.palm	14216	M3_L_palm
14217.M3.L.palm	14217	M3_L_palm
14218.M3.L.palm	14218	M3_L_palm
14219.M3.L.palm	14219	M3_L_palm
14220.M3.L.palm	14220	M3_L_palm
14221.M3.L.palm	14221	M3_L_palm
14222.M3.L.palm	14222	M3_L_palm
14223.M3.L.palm	14223	M3_L_palm
14224.M3.L.palm	14224	M3_L_palm
14225.M3.L.palm	14225	M3_L_palm
14226.M3.L.palm	14226	M3_L_palm
14227.M3.L.palm	14227	M3_L_palm
14229.M3.L.palm	14229	M3_L_palm
14230.M3.L.palm	14230	M3_L_palm
14231.M3.L.palm	14231	M3_L_palm
14232.M3.L.palm	14232	M3_L_palm
14233.M3.L.palm	14233	M3_L_palm
14234.M3.L.palm	14234	M3_L_palm
14235.M3.L.palm	14235	M3_L_palm
14237.M3.L.palm	14237	M3_L_palm
14238.M3.L.palm	14238	M3_L_palm
14239.M3.L.palm	14239	M3_L_palm
14240.M3.L.palm	14240	M3_L_palm
14241.M3.L.palm	14241	M3_L_palm
14242.M3.L.palm	14242	M3_L_palm
14243.M3.L.palm	14243	M3_L_palm
14244.M3.L.palm	14244	M3_L_palm
14245.M3.L.palm	14245	M3_L_palm
14246.M3.L.palm	14246	M3_L_palm
14252.M3.L.palm	14252	M3_L_palm
14253.M3.L.palm	14253	M3_L_palm
14254.M3.L.palm	14254	M3_L_palm
14255.M3.L.palm	14255	M3_L_palm
14256.M3.L.palm	14256	M3_L_palm
14257.M3.L.palm	14257	M3_L_palm
14259.M3.L.palm	14259	M3_L_palm
14260.M3.L.palm	14260	M3_L_palm
